Wall time,Step,Value
1674430804.6321135,6144,77.08916473388672
1674430805.7785046,8192,77.8625717163086
1674430807.021861,10240,77.8625717163086
1674430808.1049638,12288,77.8625717163086
1674430809.044827,14336,82.895751953125
1674430810.1183689,16384,88.18675994873047
1674430811.181679,18432,93.09054565429688
1674430812.0274713,20480,96.25872039794922
1674430812.7096443,22528,99.01396179199219
1674430813.3805494,24576,99.32266235351562
1674430814.083839,26624,102.10148620605469
1674430814.6799939,28672,107.22171783447266
1674430815.3204594,30720,111.99710845947266
1674430815.9633043,32768,115.05158233642578
1674430816.6137,34816,116.709228515625
1674430817.209513,36864,118.01911926269531
1674430817.8034673,38912,120.2956771850586
1674430818.4375186,40960,122.04045867919922
1674430819.1149724,43008,123.82109069824219
1674430819.7882106,45056,128.95982360839844
1674430820.4461281,47104,132.5737762451172
1674430821.1391087,49152,134.2729949951172
1674430821.7846167,51200,137.04928588867188
1674430822.4679224,53248,138.41983032226562
1674430823.0854793,55296,139.2315673828125
1674430823.693844,57344,139.64501953125
1674430824.317063,59392,139.9081573486328
1674430824.9302464,61440,141.00946044921875
1674430825.5610125,63488,146.10238647460938
1674430826.2277036,65536,153.61801147460938
1674430826.856662,67584,159.40933227539062
1674430827.489641,69632,167.07925415039062
1674430828.2125943,71680,175.8348846435547
1674430829.0818233,73728,188.5540008544922
1674430830.1938455,75776,194.73988342285156
1674430831.4866183,77824,198.92843627929688
1674430832.2220438,79872,201.8793182373047
1674430832.9684691,81920,203.36085510253906
1674430833.8740091,83968,203.36085510253906
1674430834.8877065,86016,204.96200561523438
1674430836.2380815,88064,208.66822814941406
1674430836.968272,90112,208.66822814941406
1674430837.720229,92160,208.66822814941406
1674430838.4027703,94208,211.06671142578125
1674430839.0599656,96256,223.2211456298828
1674430839.722599,98304,223.2211456298828
1674430840.4077744,100352,226.8335723876953
1674430841.153948,102400,228.3675537109375
1674430841.8810856,104448,232.44998168945312
1674430842.475699,106496,232.44998168945312
1674430843.0616114,108544,235.44447326660156
1674430843.6711037,110592,235.44447326660156
1674430844.241618,112640,236.83839416503906
1674430844.8077886,114688,239.49932861328125
1674430845.3827016,116736,265.8643493652344
1674430846.25316,118784,281.8628234863281
1674430846.9752257,120832,284.8343811035156
1674430847.6400898,122880,288.3776550292969
1674430848.278589,124928,288.3776550292969
1674430848.9799137,126976,292.03985595703125
1674430849.6445935,129024,305.2630920410156
1674430850.3286042,131072,318.564208984375
1674430851.0147574,133120,329.6952819824219
1674430851.8053553,135168,346.6703186035156
1674430852.5287123,137216,370.602783203125
1674430853.3126633,139264,393.7564697265625
1674430853.9593382,141312,400.547607421875
1674430854.596967,143360,402.6241455078125
1674430855.2765105,145408,409.5875244140625
1674430856.233178,147456,409.5875244140625
1674430857.1011662,149504,412.8838195800781
1674430857.8404157,151552,416.2288818359375
1674430858.6444883,153600,419.4500427246094
1674430859.2900894,155648,419.4500427246094
1674430859.8886266,157696,419.4500427246094
1674430860.5442777,159744,429.1835632324219
1674430861.1785414,161792,429.1835632324219
1674430861.9067776,163840,435.6894226074219
1674430862.54317,165888,439.57879638671875
1674430863.1701639,167936,443.3593444824219
1674430864.0875278,169984,443.3593444824219
1674430865.0649748,172032,446.8255920410156
1674430866.1948137,174080,446.8255920410156
1674430867.1110663,176128,453.61358642578125
1674430867.8558505,178176,460.0111999511719
1674430868.5838137,180224,466.3343505859375
1674430869.3149364,182272,487.4566345214844
1674430870.0135522,184320,487.4566345214844
1674430870.723788,186368,493.20916748046875
1674430871.434659,188416,493.20916748046875
1674430872.1491554,190464,493.20916748046875
1674430872.8273058,192512,502.453369140625
1674430873.4946318,194560,511.5840148925781
1674430874.1802106,196608,523.5612182617188
1674430874.850034,198656,535.4063720703125
1674430875.5882463,200704,555.099365234375
1674430876.2953613,202752,569.3155517578125
1674430876.9580946,204800,580.2518920898438
1674430877.6056814,206848,593.7466430664062
1674430878.2716806,208896,601.6058349609375
1674430878.9512675,210944,604.0419311523438
